province,year,effort_status,mainland,observed,effort_record,n_visits,n_observers,n_birding_days,effort_pc1,log_effort_record_z,log_effort_visits_z,log_effort_observers_z,log_effort_days_z,effort_pc1_z,in_scope,log_effort_record,log_n_visits,log_n_observers,log_n_birding_days
Inner Mongolia,2021,observed,TRUE,TRUE,670,167,69,105,0.0320500467369987,0.875806778860664,0.506545725411344,0.803660101422144,0.651354922775406,0.71885963809323,TRUE,6.50876913697168,5.12396397940326,4.24849524204936,4.66343909411207
Inner Mongolia,2022,observed,TRUE,TRUE,698,131,51,84,-0.192218531888127,0.894796353815632,0.394216658304145,0.620522243999225,0.518361350497751,0.607962000961177,TRUE,6.54965074223381,4.88280192258637,3.95124371858143,4.44265125649032
Inner Mongolia,2023,observed,TRUE,TRUE,1828,648,201,239,1.15614076427208,1.34158841398746,1.13603622026483,1.45659016739673,1.14360271017468,1.31192984737597,TRUE,7.51152464839087,6.47543271670409,5.30826769740121,5.48063892334199
Inner Mongolia,2024,observed,TRUE,TRUE,2611,2259,515,362,3.06644509498639,1.50711212624975,1.71718717240135,2.03439658376745,1.39283718425599,1.73321352609874,TRUE,7.86787149039632,7.72312009226633,6.24610676548156,5.89440283426485
Jiangsu,2002,observed,TRUE,TRUE,10,7,4,3,-1.17427829523437,-1.03370110062705,-0.911539564332537,-0.822273718271565,-1.32266316448085,-1.10050619085105,TRUE,2.39789527279837,2.07944154167984,1.6094379124341,1.38629436111989
Jiangsu,2003,observed,TRUE,TRUE,65,2,1,2,-1.19182693943353,-0.201425789420017,-1.36839267147747,-1.38680411816374,-1.49595109060814,-1.22013889413802,TRUE,4.18965474202643,1.09861228866811,0.693147180559945,1.09861228866811
Jiangsu,2004,observed,TRUE,TRUE,45,5,4,5,-1.12566131275048,-0.369117100484454,-1.04553684088799,-0.822273718271565,-1.07842755013676,-0.909330782575245,TRUE,3.8286413964891,1.79175946922806,1.6094379124341,1.79175946922806
Jiangsu,2005,observed,TRUE,TRUE,132,7,5,7,-1.11921520744173,0.124047940925599,-0.911539564332537,-0.709944674895415,-0.905139624009476,-0.675653095729813,TRUE,4.89034912822175,2.07944154167984,1.79175946922806,2.07944154167984
Jiangsu,2006,observed,TRUE,TRUE,157,5,4,5,-1.17116380971447,0.204056455733481,-1.04553684088799,-0.822273718271565,-1.07842755013676,-0.769249193882256,TRUE,5.06259503302697,1.79175946922806,1.6094379124341,1.79175946922806
Jiangsu,2007,observed,TRUE,TRUE,249,11,9,11,-1.08850390092345,0.417200437201097,-0.722681010298509,-0.395222956527764,-0.66090400966539,-0.402400315363335,TRUE,5.52146091786225,2.484906649788,2.30258509299405,2.484906649788
Jiangsu,2008,observed,TRUE,TRUE,278,17,9,14,-0.876869340623723,0.468179899581821,-0.533822456264481,-0.395222956527764,-0.526491451710814,-0.302479265337868,TRUE,5.63121178182137,2.89037175789616,2.30258509299405,2.70805020110221
Jiangsu,2009,observed,TRUE,TRUE,246,21,14,17,-0.780231324223081,0.411592702749914,-0.440353556908843,-0.145414275003236,-0.416668395321304,-0.194151428100965,TRUE,5.50938833662798,3.09104245335832,2.70805020110221,2.89037175789616
Jiangsu,2010,observed,TRUE,TRUE,165,52,17,49,-0.644713476566123,0.22699947432459,-0.0308145401925032,-0.0330852316270863,0.198732572842425,0.0672714869446937,TRUE,5.11198778835654,3.97029191355212,2.89037175789616,3.91202300542815
Jiangsu,2011,observed,TRUE,TRUE,214,87,21,84,1.43608611062053,0.347142949214122,0.205358104270117,0.0905487897759031,0.518361350497751,0.279833694027362,TRUE,5.37063802812766,4.47733681447821,3.09104245335832,4.44265125649032
Jiangsu,2012,observed,TRUE,TRUE,227,105,29,89,-0.204423081275757,0.374412729331079,0.292041290396977,0.281636486740565,0.552791243576021,0.370826720108177,TRUE,5.42934562895444,4.66343909411207,3.40119738166216,4.49980967033027
Jiangsu,2013,observed,TRUE,TRUE,265,111,41,95,0.653902998575756,0.44601598145804,0.317687171377316,0.488938383054493,0.591666611748733,0.461560237662041,TRUE,5.5834963087817,4.71849887129509,3.73766961828337,4.56434819146784
Jiangsu,2014,observed,TRUE,TRUE,85,171,56,116,0.0169118358292274,-0.0784756492215456,0.51750581945575,0.677085243809316,0.710828756626485,0.470432865065824,TRUE,4.45434729625351,5.14749447681345,4.04305126783455,4.76217393479776
Jiangsu,2015,observed,TRUE,TRUE,419,259,65,159,0.366658093862592,0.658181033805902,0.709961167468635,0.767408233044232,0.899367095830598,0.77771629844076,TRUE,6.04025471127741,5.56068163101553,4.18965474202643,5.07517381523383
Jiangsu,2016,observed,TRUE,TRUE,351,247,83,136,0.299147513306694,0.576139102035159,0.687951600360756,0.915989144798293,0.805885240233484,0.766689109776126,TRUE,5.8636311755981,5.51342874616498,4.43081679884331,4.91998092582813
Jiangsu,2017,observed,TRUE,TRUE,409,312,108,169,0.4156873527356,0.646987680242418,0.796373864327897,1.07650339161089,0.935884890969126,0.891582228250587,TRUE,6.01615715969835,5.74620319054015,4.69134788222914,5.13579843705026
Jiangsu,2018,observed,TRUE,TRUE,505,320,112,174,0.440199964571931,0.744709319124168,0.808129251808633,1.09870774122091,0.953345798788281,0.929322262744796,TRUE,6.22653666928747,5.77144112313002,4.72738781871234,5.16478597392351
Jiangsu,2019,observed,TRUE,TRUE,580,727,173,295,1.2032378132792,0.80890999712614,1.18953987953458,1.36465980961072,1.26992978912844,1.20535623860714,TRUE,6.36475075685191,6.59030104819669,5.15905529921453,5.69035945432406
Jiangsu,2020,observed,TRUE,TRUE,955,729,121,313,1.86870553460949,1.04023516550258,1.19081774729278,1.14592177954489,1.30548917652096,1.21282506864801,TRUE,6.8627579130514,6.59304453414244,4.80402104473326,5.74939298590825
Jiangsu,2021,observed,TRUE,TRUE,2547,1247,195,333,1.75089897364894,1.4955890126555,1.44059502021668,1.43801275947987,1.34268365303523,1.48087954602184,TRUE,7.84306401669205,7.12929754892937,5.27811465923052,5.8111409929767
Jiangsu,2022,observed,TRUE,TRUE,5928,2128,203,347,2.65168335139342,1.88788244564956,1.68937416835738,1.46266020680382,1.36741741496293,1.65787455961166,TRUE,8.68761084370737,7.66340766489348,5.31811999384422,5.85220247977447
Jiangsu,2023,observed,TRUE,TRUE,14424,5256,687,365,5.2589693245546,2.300874269585,2.11039876484383,2.21163866398673,1.39779490064826,2.08354472176967,TRUE,9.5767180913763,8.56731580081945,6.53378883793334,5.90263333340137
Jiangsu,2024,observed,TRUE,TRUE,19199,14810,1741,365,12.456273057688,2.43369735263467,2.59286076793438,2.78399949184625,1.39779490064826,2.40180290377236,TRUE,9.86266555801587,9.60312542692697,7.46278915741245,5.90263333340137
Jiangxi,2002,observed,TRUE,TRUE,7,4,2,4,-1.20356913620084,-1.18162339863835,-1.13045903245707,-1.13699543663922,-1.18825060652627,-1.24521662507767,TRUE,2.07944154167984,1.6094379124341,1.09861228866811,1.6094379124341
Jiangxi,2003,observed,TRUE,TRUE,15,2,2,2,-1.22613841524416,-0.859655358105904,-1.36839267147747,-1.13699543663922,-1.49595109060814,-1.31371483410643,TRUE,2.77258872223978,1.09861228866811,1.09861228866811,1.09861228866811
Jiangxi,2004,observed,TRUE,TRUE,18,4,2,4,-1.01247134566161,-0.779830622408393,-1.13045903245707,-1.13699543663922,-1.18825060652627,-1.14701989250151,TRUE,2.94443897916644,1.6094379124341,1.09861228866811,1.6094379124341
Jiangxi,2005,observed,TRUE,TRUE,25,5,3,5,-0.96780747282261,-0.634136154544921,-1.04553684088799,-0.959753356419943,-1.07842755013676,-1.01113453226417,TRUE,3.25809653802148,1.79175946922806,1.38629436111989,1.79175946922806
Jiangxi,2006,observed,TRUE,TRUE,46,8,2,8,-0.920344775596327,-0.359127431697677,-0.856678286853961,-1.13699543663922,-0.834191935792678,-0.874840396075115,TRUE,3.85014760171006,2.19722457733622,1.09861228866811,2.19722457733622
Jiangxi,2007,observed,TRUE,TRUE,52,10,6,9,-1.01147826106777,-0.303320195154266,-0.763209387498323,-0.614971821957637,-0.7707270660549,-0.678110977413681,TRUE,3.97029191355212,2.39789527279837,1.94591014905531,2.30258509299405
Jiangxi,2008,observed,TRUE,TRUE,58,22,9,18,-0.920693026054592,-0.253504464480852,-0.419648703555217,-0.395222956527764,-0.384100510344872,-0.409635060443896,TRUE,4.07753744390572,3.13549421592915,2.30258509299405,2.94443897916644
Jiangxi,2009,observed,TRUE,TRUE,68,33,8,15,-0.717310435911587,-0.180777870342307,-0.237590014895983,-0.460135993370887,-0.487616083538102,-0.387361389522959,TRUE,4.23410650459726,3.52636052461616,2.19722457733622,2.77258872223978
Jiangxi,2010,observed,TRUE,TRUE,65,27,15,23,-0.71174463328389,-0.201425789420017,-0.328024489801644,-0.105651832932342,-0.243380469194016,-0.256280013358446,TRUE,4.18965474202643,3.3322045101752,2.77258872223978,3.17805383034795
Jiangxi,2011,observed,TRUE,TRUE,79,12,8,12,-0.897446274044664,-0.112068719137796,-0.685398517354234,-0.460135993370887,-0.612689553004436,-0.526174988761404,TRUE,4.38202663467388,2.56494935746154,2.19722457733622,2.56494935746154
Jiangxi,2012,observed,TRUE,TRUE,89,40,20,36,-0.463710225737083,-0.0573582993859422,-0.150390153723672,0.0618876213106921,0.0173591677143171,-0.0577596255474949,TRUE,4.49980967033027,3.71357206670431,3.04452243772342,3.61091791264422
Jiangxi,2013,observed,TRUE,TRUE,114,48,24,38,0.202960044481005,0.0565014979512129,-0.0673652458602316,0.169307443364415,0.0490696018110247,0.0301322366317666,TRUE,4.74493212836325,3.89182029811063,3.2188758248682,3.66356164612965
Jiangxi,2014,observed,TRUE,TRUE,44,77,31,57,-0.304612001161302,-0.379326339918384,0.149171697858755,0.321398928811458,0.28813471967609,0.0875838098873429,TRUE,3.80666248977032,4.35670882668959,3.46573590279973,4.06044301054642
Jiangxi,2015,observed,TRUE,TRUE,199,97,31,68,-0.207523397973421,0.313549879297871,0.255490584729249,0.321398928811458,0.392742512826401,0.313895736049829,TRUE,5.29831736654804,4.58496747867057,3.46573590279973,4.23410650459726
Jiangxi,2016,observed,TRUE,TRUE,202,116,44,78,-0.159433399104974,0.320465665043385,0.338030251892783,0.531445168265093,0.474266610910594,0.41648381449685,TRUE,5.31320597904179,4.76217393479776,3.80666248977032,4.36944785246702
Jiangxi,2017,observed,TRUE,TRUE,202,155,69,89,0.0263238253243956,0.320465665043385,0.472027528448235,0.803660101422144,0.552791243576021,0.547364129183906,TRUE,5.31320597904179,5.04985600724954,4.24849524204936,4.49980967033027
Jiangxi,2018,observed,TRUE,TRUE,269,251,96,116,1.05555276590845,0.452948971288647,0.695404279445373,1.00464292679116,0.710828756626485,0.737078597252575,TRUE,5.59842195899838,5.52942908751142,4.57471097850338,4.76217393479776
Jiangxi,2019,observed,TRUE,TRUE,263,312,118,132,0.623660720246896,0.442510291644865,0.796373864327897,1.1305822979978,0.788036256072359,0.816642158975857,TRUE,5.57594910314632,5.74620319054015,4.77912349311153,4.89034912822175
Jiangxi,2020,observed,TRUE,TRUE,753,201,64,138,1.32042235166409,0.929978467400142,0.592391172992748,0.758001882147603,0.814615235667004,0.786873448822691,TRUE,6.62539236800796,5.30826769740121,4.17438726989564,4.93447393313069
Jiangxi,2021,observed,TRUE,TRUE,1856,400,112,192,0.838538438461098,1.34864554781631,0.911775316660125,1.09870774122091,1.01231929765337,1.12096597793,TRUE,7.52671756135271,5.99396142730657,4.72738781871234,5.26269018890489
Jiangxi,2022,observed,TRUE,TRUE,2579,423,121,187,0.785586244678077,1.50138630095359,0.937752951575937,1.14592177954489,0.996508438734423,1.17387261717197,TRUE,7.85554467791566,6.04973345523196,4.80402104473326,5.23644196282995
Jiangxi,2023,observed,TRUE,TRUE,5423,1864,482,336,4.14556691058517,1.84653156917808,1.62770860162379,1.99367820044012,1.34806991075432,1.76881752114152,TRUE,8.59858882962023,7.53101633207792,6.18001665365257,5.82008293035236
Jiangxi,2024,observed,TRUE,TRUE,5326,4111,1082,355,5.6970805942682,1.83814948618837,1.99597882947447,2.49116592425785,1.38110798476508,2.01007934424374,TRUE,8.580543506917,8.321664807135,6.98749024700099,5.87493073085203
Jilin,2002,observed,TRUE,TRUE,,2,1,2,-1.06662524088016,,-1.36839267147747,-1.38680411816374,-1.49595109060814,,TRUE,,1.09861228866811,0.693147180559945,1.09861228866811
Jilin,2003,observed,TRUE,TRUE,,3,2,3,-1.0910911864445,,-1.23439539492202,-1.13699543663922,-1.32266316448085,,TRUE,,1.38629436111989,1.09861228866811,1.38629436111989
Jilin,2004,observed,TRUE,TRUE,5,3,2,2,-1.08023602133923,-1.31525220902864,-1.23439539492202,-1.13699543663922,-1.49595109060814,-1.38850678196485,TRUE,1.79175946922806,1.38629436111989,1.09861228866811,1.09861228866811
Jilin,2005,observed,TRUE,TRUE,10,4,1,4,-0.938067064319325,-1.03370110062705,-1.13045903245707,-1.38680411816374,-1.18825060652627,-1.27635797609764,TRUE,2.39789527279837,1.6094379124341,0.693147180559945,1.6094379124341
Jilin,2006,observed,TRUE,TRUE,10,1,1,1,-1.20883430702688,-1.03370110062705,-1.5572512255115,-1.38680411816374,-1.74018670495223,-1.54037218206472,TRUE,2.39789527279837,0.693147180559945,0.693147180559945,0.693147180559945
Jilin,2007,observed,TRUE,TRUE,32,12,7,8,-0.843711687053303,-0.523393829952458,-0.685398517354234,-0.532702594676143,-0.834191935792678,-0.70547821255473,TRUE,3.49650756146648,2.56494935746154,2.07944154167984,2.19722457733622
Jilin,2008,observed,TRUE,TRUE,26,1,1,1,-1.23152207196124,-0.616605708211903,-1.5572512255115,-1.38680411816374,-1.74018670495223,-1.43843554424847,TRUE,3.29583686600433,0.693147180559945,0.693147180559945,0.693147180559945
Jilin,2009,observed,TRUE,TRUE,60,3,3,3,-1.15722901671087,-0.238019640747959,-1.23439539492202,-0.959753356419943,-1.32266316448085,-1.03115320540739,TRUE,4.11087386417331,1.38629436111989,1.38629436111989,1.38629436111989
Jilin,2010,observed,TRUE,TRUE,24,5,2,3,-0.97471859778177,-0.652354242299453,-1.04553684088799,-1.13699543663922,-1.32266316448085,-1.12863987888113,TRUE,3.2188758248682,1.79175946922806,1.09861228866811,1.38629436111989
Jilin,2011,observed,TRUE,TRUE,15,10,5,10,-0.972168082784776,-0.859655358105904,-0.763209387498323,-0.709944674895415,-0.713316107991538,-0.824309460314665,TRUE,2.77258872223978,2.39789527279837,1.79175946922806,2.39789527279837
Jilin,2012,observed,TRUE,TRUE,7,4,2,4,-1.19221255702414,-1.18162339863835,-1.13045903245707,-1.13699543663922,-1.18825060652627,-1.24521662507767,TRUE,2.07944154167984,1.6094379124341,1.09861228866811,1.6094379124341
Jilin,2013,observed,TRUE,TRUE,5,5,4,4,-1.00350913237158,-1.31525220902864,-1.04553684088799,-0.822273718271565,-1.18825060652627,-1.16992915218956,TRUE,1.79175946922806,1.79175946922806,1.6094379124341,1.6094379124341
Jilin,2014,observed,TRUE,TRUE,4,16,10,14,-0.832497383851368,-1.39994088126756,-0.560445845485463,-0.336501971967897,-0.526491451710814,-0.750486045532797,TRUE,1.6094379124341,2.83321334405622,2.39789527279837,2.70805020110221
Jilin,2015,observed,TRUE,TRUE,14,12,7,11,-0.940619818733295,-0.889633610592972,-0.685398517354234,-0.532702594676143,-0.66090400966539,-0.748649339356424,TRUE,2.70805020110221,2.56494935746154,2.07944154167984,2.484906649788
Jilin,2016,observed,TRUE,TRUE,8,15,8,8,-0.934581493241917,-1.12691297888649,-0.588683733743057,-0.460135993370887,-0.834191935792678,-0.807044602295492,TRUE,2.19722457733622,2.77258872223978,2.19722457733622,2.19722457733622
Jilin,2017,observed,TRUE,TRUE,37,25,18,20,-0.730704902346144,-0.457862581875951,-0.362542686764753,0.000225800540987319,-0.323814324190909,-0.321355376399589,TRUE,3.63758615972639,3.25809653802148,2.94443897916644,3.04452243772342
Jilin,2018,observed,TRUE,TRUE,92,60,29,31,-0.658760876752223,-0.0421273710927679,0.0346660730259302,0.281636486740565,-0.0700925430667273,0.0322571917053686,TRUE,4.53259949315326,4.11087386417331,3.40119738166216,3.46573590279973
Jilin,2019,observed,TRUE,TRUE,46,56,28,39,-0.595496246312106,-0.359127431697677,0.0030754941592647,0.260749604598592,0.0643200148878488,-0.0235194059610254,TRUE,3.85014760171006,4.04305126783455,3.36729582998647,3.68887945411394
