grid_cell,province,olap
1274,Inner Mongolia,5376770283.31621
1275,Inner Mongolia,5391893918.64659
1276,Inner Mongolia,5408456066.98485
1277,Inner Mongolia,5426465892.07934
1278,Inner Mongolia,5445933278.02561
1279,Inner Mongolia,5466868813.04681
1280,Inner Mongolia,5489283771.14613
1281,Inner Mongolia,2729333984.76071
1324,Inner Mongolia,2527257727.37478
1325,Inner Mongolia,3127317894.58177
1326,Inner Mongolia,2636007416.56024
1327,Inner Mongolia,3177190758.33538
1328,Inner Mongolia,2873793076.57562
1329,Inner Mongolia,843665414.513013
1334,Inner Mongolia,1264772.11425678
1335,Inner Mongolia,812413846.572506
1336,Inner Mongolia,1168481363.78746
1337,Inner Mongolia,1320125310.33638
1338,Inner Mongolia,3271091269.68959
1339,Inner Mongolia,5390450053.23754
1340,Inner Mongolia,5429997910.01262
1341,Inner Mongolia,5436931202.70185
1342,Inner Mongolia,5445325479.18478
1343,Inner Mongolia,5455185827.28255
1344,Inner Mongolia,5466518203.65788
1345,Inner Mongolia,5479329427.65065
1348,Inner Mongolia,5450624051.2139
1349,Inner Mongolia,5458579142.86337
1350,Inner Mongolia,5431951935.00236
1351,Inner Mongolia,3193223705.03738
1352,Liaoning,4240543628.69233
1353,Liaoning,5505399865.08963
1396,Gansu,4161555673.22569
1397,Inner Mongolia,5618761380.19599
1398,Inner Mongolia,5603138767.00084
1399,Inner Mongolia,5589073002.63464
1400,Inner Mongolia,5576555183.34832
1401,Inner Mongolia,5267411823.0947
1402,Inner Mongolia,3860787721.22972
1403,Inner Mongolia,1782766564.67617
1404,Inner Mongolia,821893928.973629
1405,Inner Mongolia,2102975769.13892
1406,Inner Mongolia,4666748120.93764
1407,Inner Mongolia,5531725251.21721
1408,Inner Mongolia,5531385212.34317
1409,Inner Mongolia,5532556190.50507
1410,Inner Mongolia,5535238941.72595
1411,Inner Mongolia,5539435197.08885
1412,Inner Mongolia,5545147661.51779
1413,Inner Mongolia,5552380011.84213
1414,Inner Mongolia,5561136894.10717
1420,Inner Mongolia,4638302485.53537
1421,Liaoning,3687356686.55272
1422,Liaoning,5156040032.85747
1468,Gansu,5013435514.49416
1469,Inner Mongolia,5348104334.25456
1470,Inner Mongolia,5714795205.6043
1471,Inner Mongolia,5696941093.73707
1472,Inner Mongolia,5693941387.39324
1473,Inner Mongolia,5682494316.00313
1474,Inner Mongolia,5672646523.46462
1475,Inner Mongolia,5664391361.06512
1476,Inner Mongolia,5644351858.54623
1477,Inner Mongolia,5652637646.55295
1478,Inner Mongolia,5649131120.35866
1479,Inner Mongolia,5647201280.34257
1480,Inner Mongolia,5646846813.84894
1481,Inner Mongolia,5648067479.70173
1482,Inner Mongolia,5650864108.33425
1483,Inner Mongolia,5655238601.36878
1484,Inner Mongolia,5661193930.66941
1485,Inner Mongolia,5668734136.8222
1541,Gansu,4657084882.82313
1542,Gansu,4930029819.37439
1543,Gansu,2981228980.02169
1544,Inner Mongolia,5812184437.50377
1545,Inner Mongolia,5800254678.59618
1546,Inner Mongolia,5789992442.91032
1547,Inner Mongolia,5781390438.57472
1548,Inner Mongolia,5774442541.10516
1549,Inner Mongolia,5769143795.60074
1550,Inner Mongolia,5765490418.41551
1551,Inner Mongolia,5763479798.37831
1552,Inner Mongolia,5763110497.59927
1553,Inner Mongolia,5764382251.91176
1554,Inner Mongolia,5767295970.94218
1555,Inner Mongolia,5771853737.848
1556,Inner Mongolia,5778867733.13181
1614,Gansu,5872668254.69438
1615,Inner Mongolia,4191264620.80858
1616,Inner Mongolia,5931201533.97829
1617,Inner Mongolia,5918775763.82341
1618,Inner Mongolia,5908087695.94265
1619,Inner Mongolia,5899129354.5486
1620,Inner Mongolia,5891894043.13334
1621,Inner Mongolia,5886376345.61101
1622,Inner Mongolia,5882572127.12132
1623,Inner Mongolia,5880478534.597
1624,Inner Mongolia,5880093997.10979
1625,Inner Mongolia,5881418226.06337
1626,Inner Mongolia,5884452215.22053
1627,Inner Mongolia,5869257358.62708
1687,Gansu,5806459454.39189
1688,Inner Mongolia,4322384797.7939
1689,Inner Mongolia,4615799429.57685
1690,Inner Mongolia,3178700383.81128
1691,Gansu,4394202106.98122
1692,Inner Mongolia,6010205250.86968
1693,Inner Mongolia,5989520980.10513
1694,Ningxia,3246242380.22612
1695,Inner Mongolia,5911636277.57667
1696,Inner Mongolia,5997710557.6782
1697,Inner Mongolia,6000141534.34228
1698,Shaanxi,3114329282.55931
1760,Gansu,5804511007.74962
1761,Gansu,5528753929.18712
1763,Inner Mongolia,3663313165.26447
1764,Inner Mongolia,6128641411.43588
1765,Inner Mongolia,5114647990.82407
1766,Ningxia,4502392001.55739
1767,Inner Mongolia,6112510690.13886
1768,Inner Mongolia,6115868934.17063
1769,Inner Mongolia,3257278455.15737
1770,Shaanxi,6120600053.72308
1835,Inner Mongolia,3859168968.79683
1836,Inner Mongolia,5478847437.06883
1837,Ningxia,3326384655.62377
1838,Ningxia,6235827974.95001
1839,Ningxia,3583997851.30771
1840,Inner Mongolia,4010909059.20931
1841,Shaanxi,5405810319.36646
1907,Gansu,6360233071.6371
1908,Gansu,4944420025.5513
1282,Jilin,3990695629.78103
1283,Jilin,5554489315.31775
1354,Liaoning,5539086278.59968
1355,Jilin,4518000797.9925
1423,Liaoning,5709792961.01152
1424,Liaoning,5734260123.36488
1425,Liaoning,5760365130.76236
1426,Liaoning,5788123655.87789
1427,Liaoning,3131307557.24788
1493,Liaoning,5786946542.64116
1494,Liaoning,5792008129.1114
1495,Liaoning,5633271502.44897
1496,Liaoning,5858493421.22825
1497,Liaoning,5885750982.46261
1498,Liaoning,5914741036.02763
1499,Liaoning,5049277792.87961
1500,Jilin,3708708114.81008
1566,Liaoning,2345744164.58161
1567,Liaoning,601744111.765211
1568,Liaoning,5858648417.85436
1569,Liaoning,6012232308.69256
1570,Liaoning,5657172544.26931
1571,Liaoning,2270140787.69682
1638,Liaoning,23110148.1678361
1639,Liaoning,3343958260.58229
1640,Liaoning,5839830515.12277
1641,Liaoning,3922336749.08021
1642,Liaoning,1351040769.21849
1710,Liaoning,173794509.73434
1711,Liaoning,3534490217.62867
1712,Liaoning,776763308.110732
1713,Liaoning,6852537.87708476
1782,Liaoning,118428998.366359
1783,Liaoning,72429158.0824777
922,Heilongjiang,4928175912.84602
994,Heilongjiang,4388215922.62635
995,Heilongjiang,5055104352.43553
1065,Jilin,5152445169.60735
1066,Jilin,4917854981.13211
1067,Jilin,4726858188.10894
1068,Jilin,2766831007.22818
1069,Heilongjiang,4306642791.24705
1138,Jilin,5294489000.51206
1139,Jilin,5319078569.77571
1140,Jilin,5345054592.46078
1141,Jilin,3956206797.53913
1142,Heilongjiang,4602342928.71715
1143,Heilongjiang,5423239910.98805
1210,Jilin,5415836056.79773
1211,Jilin,5441574289.96997
1212,Jilin,5468769751.85506
1213,Jilin,5497726729.96425
1214,Jilin,5005253034.53909
1215,Heilongjiang,4044974687.13994
1216,Jilin,2860493033.96486
1217,Heilongjiang,4982661105.77123
1284,Jilin,5593986087.58948
1285,Jilin,5623989679.30636
1286,Jilin,5655553391.76461
1287,Jilin,5587466968.13199
1288,Jilin,5530384522.36016
1289,Jilin,5112204993.12381
1290,Jilin,101911159.62526
1356,Jilin,5720641382.12572
1357,Jilin,5752030120.94885
1358,Jilin,5785059320.07754
1359,Jilin,5598680247.5469
1360,Jilin,1902618352.80744
1361,Jilin,995945399.102585
1428,Jilin,5791822462.17116
1429,Jilin,5260794004.97524
1430,Jilin,4411692393.18151
1431,Jilin,1387079664.31907
1501,Jilin,446288178.099711
1502,Jilin,1160040177.53266
1572,Jilin,50937058.7967239
56,Heilongjiang,2308179671.1857
57,Heilongjiang,2642610920.57918
58,Heilongjiang,909614647.754097
59,Heilongjiang,174804170.395842
128,Heilongjiang,3745755766.09334
129,Heilongjiang,3756835418.85431
130,Heilongjiang,3765480888.58956
131,Heilongjiang,3419121006.43916
132,Heilongjiang,426293058.773079
201,Heilongjiang,3853672456.14502
202,Heilongjiang,3866031866.60284
203,Heilongjiang,3879091700.90255
204,Heilongjiang,2274118323.71144
273,Heilongjiang,3952318825.44977
274,Heilongjiang,3965450811.36384
276,Heilongjiang,3554387187.97732
277,Heilongjiang,83991061.467744
349,Heilongjiang,1011365456.03106
421,Heilongjiang,2810717888.34122
492,Heilongjiang,4306969844.30085
493,Heilongjiang,3924669368.67911
494,Heilongjiang,2463387.45878276
564,Heilongjiang,4415185836.32536
565,Heilongjiang,4433815427.79485
566,Heilongjiang,3220358290.96704
567,Heilongjiang,2160372975.76908
568,Heilongjiang,462186001.593169
636,Heilongjiang,4525246852.51171
637,Heilongjiang,4544822781.98778
638,Heilongjiang,4565373126.17709
639,Heilongjiang,4586901386.97283
640,Heilongjiang,3811074520.19263
641,Heilongjiang,804875063.661569
707,Heilongjiang,4617593401.06077
708,Heilongjiang,4637131819.16457
709,Heilongjiang,4657694111.39917
710,Heilongjiang,4679284674.77096
711,Heilongjiang,4701907884.07065
712,Heilongjiang,4725568053.6504
713,Heilongjiang,2295512228.24453
715,Heilongjiang,26734361.6570046
716,Heilongjiang,1295539719.11971
717,Heilongjiang,2607738600.4906
718,Heilongjiang,120596643.231025
778,Heilongjiang,4710869392.49761
779,Heilongjiang,4730305526.54826
780,Heilongjiang,4750815795.77446
781,Heilongjiang,4772405471.58379
782,Heilongjiang,4795079878.54498
783,Heilongjiang,4818844357.71673
784,Heilongjiang,4843704226.99215
785,Heilongjiang,4087422458.63972
786,Heilongjiang,2664408782.49321
787,Heilongjiang,3548446458.04593
788,Heilongjiang,4954200658.84354
789,Heilongjiang,3961352363.41143
850,Heilongjiang,4824358081.04196
851,Heilongjiang,4844748293.74631
852,Heilongjiang,4866269794.8624
853,Heilongjiang,4888928832.51852
854,Heilongjiang,4912731753.48695
855,Heilongjiang,4937684965.40042
856,Heilongjiang,4963794895.77247
857,Heilongjiang,4991067947.6336
858,Heilongjiang,5019510451.58479
859,Heilongjiang,5049128614.0435
860,Heilongjiang,5079928461.48603
861,Heilongjiang,1324638658.54762
923,Heilongjiang,4960887657.80984
924,Heilongjiang,4983460602.15512
925,Heilongjiang,5007231891.55231
926,Heilongjiang,5032208996.30446
927,Heilongjiang,5058399498.1419
928,Heilongjiang,5085811048.08193
929,Heilongjiang,5114451320.67286
930,Heilongjiang,5144327964.41092
931,Heilongjiang,5175448548.06081
932,Heilongjiang,5066872662.18513
933,Heilongjiang,161414408.542768
996,Heilongjiang,5102350597.93006
997,Heilongjiang,5127277887.0873
998,Heilongjiang,5153475789.93682
999,Heilongjiang,5180953177.33827
1000,Heilongjiang,5209719045.81222
1001,Heilongjiang,5239782470.59025
1002,Heilongjiang,5271152554.57088
1003,Heilongjiang,5303838372.90436
1004,Heilongjiang,3088816457.37925
1070,Heilongjiang,5276491610.21618
1071,Heilongjiang,5305306452.2119
1072,Heilongjiang,5335480412.3217
1073,Heilongjiang,5282309110.16971
1074,Heilongjiang,3139878066.5091
1075,Heilongjiang,3070979358.33987
1076,Heilongjiang,523303646.934711
1144,Heilongjiang,5463051621.13394
1145,Heilongjiang,5066853955.32368
1146,Heilongjiang,43151934.9636764
1218,Heilongjiang,209753036.589704
2430,Jiangsu,6271392588.28923
2431,Jiangsu,2098282866.79679
2502,Jiangsu,4443053877.9158
2503,Shanghai,3519457386.77904
2574,Zhejiang,5417994470.01496
2575,Zhejiang,1244723703.81287
2137,Shandong,4928587337.60582
2138,Shandong,5740163982.30246
2139,Shandong,6182203738.77242
2140,Jiangsu,3246398226.99392
2141,Jiangsu,128412057.496359
2209,Henan,4049013219.74535
2210,Anhui,3375274066.64235
2211,Jiangsu,6580891257.61619
2212,Jiangsu,7006753735.98041
2213,Jiangsu,5896121350.74521
2214,Jiangsu,140815239.565651
2283,Jiangsu,4053931215.94485
2284,Jiangsu,7132102823.14417
2285,Jiangsu,7163561227.93113
2286,Jiangsu,1973869417.08303
2355,Anhui,6230641516.72752
2356,Jiangsu,5051661663.34128
2357,Jiangsu,7289786842.61336
2358,Jiangsu,4996985730.84784
2359,Jiangsu,132969048.614533
2427,Anhui,6682190832.47138
2428,Jiangsu,6822813341.06736
2429,Jiangsu,7368200580.58708
2500,Anhui,5495005539.2273
2501,Jiangsu,4422182342.48047
2572,Anhui,4712302760.34914
2573,Zhejiang,7609934053.74958
2576,Zhejiang,236852945.702467
2643,Anhui,4428138563.06942
2644,Zhejiang,7085765689.02918
2645,Zhejiang,7789565805.31312
2646,Zhejiang,7829930136.6349
2647,Zhejiang,5029102219.89887
2648,Zhejiang,83850158.110774
2715,Jiangxi,5308086785.96338
2716,Zhejiang,7874068017.25385
2717,Zhejiang,7912486451.99068
2718,Zhejiang,7954148298.87044
2719,Zhejiang,2593933347.51253
2787,Fujian,4456702526.47083
2788,Zhejiang,6296698941.07802
2789,Zhejiang,7947668303.05013
2790,Zhejiang,5018209605.9204
2791,Zhejiang,511709412.864419
2860,Fujian,7213051550.85779
2861,Fujian,5452311431.51044
2862,Zhejiang,890337390.817122
2208,Henan,6098256569.76335
2279,Henan,6925701784.23649
2280,Anhui,3958744838.05741
2281,Anhui,6932935410.9552
2282,Anhui,7076920621.6169
2351,Henan,7054028893.37704
2352,Anhui,4151045695.76985
2353,Anhui,7147600297.02321
2354,Anhui,7200063322.57105
2424,Henan,6136380010.97192
2425,Anhui,7128776316.68124
2426,Anhui,7322793568.12726
2496,Hubei,5462568076.17694
2497,Anhui,7184786732.44885
2498,Anhui,7444972847.10177
2499,Anhui,7474120373.58175
2568,Hubei,7348086176.59053
2569,Anhui,6666822829.06968
2570,Anhui,7549050555.95667
2571,Anhui,7596574629.64428
2641,Jiangxi,6285060203.89056
2642,Jiangxi,5372781162.51526
2786,Jiangxi,6383082466.22408
2857,Jiangxi,7652874116.09257
2858,Fujian,6088066957.57857
2859,Fujian,8076568928.72456
2929,Jiangxi,5570295230.48357
2930,Fujian,8158271965.10593
2931,Fujian,8193335600.20861
2932,Fujian,8231854232.7945
2933,Fujian,2209395891.80326
3000,Jiangxi,8203063243.92776
3001,Fujian,6450463533.51417
3002,Fujian,8272427807.64768
3003,Fujian,8308490025.75477
3004,Fujian,7285267067.55163
3005,Fujian,1032791188.85663
3072,Jiangxi,4955267852.0299
3073,Fujian,4243801789.34505
3074,Fujian,8275335467.77099
3075,Fujian,7166599824.42941
3076,Fujian,1771733564.91592
3077,Fujian,11637820.5789005
3146,Fujian,5130952356.14592
3147,Fujian,1341400519.84193
2638,Hubei,4965876523.49711
2639,Hubei,6030334828.5273
2640,Jiangxi,5100361924.79477
2710,Hunan,6928747275.54675
2711,Jiangxi,7450757874.11538
2712,Jiangxi,7751883936.90435
2713,Jiangxi,7777790322.68502
2714,Jiangxi,7806763950.66593
2782,Hunan,6079679108.12565
2783,Jiangxi,7587487775.21998
2784,Jiangxi,7868715368.37893
2785,Jiangxi,7895416178.38981
2854,Hunan,5106149092.19254
2855,Jiangxi,7959970429.4777
2856,Jiangxi,7984244146.30618
2926,Hunan,7261767821.9357
2927,Jiangxi,7934817997.14771
2928,Jiangxi,8098315965.48695
2998,Hunan,5329643872.5404
2999,Jiangxi,7169663565.18753
3071,Guangdong,4347739509.36328
1852,Shandong,2701070589.57333
1853,Shandong,369347106.71606
1854,Shandong,2680940608.56774
1855,Shandong,382056692.980271
