province,ssp,horizon,mech,ml,ssp_lab
Shaanxi,ssp585,2080,11.3110030490019,1.0501676526953,SSP5-8.5
Shandong,ssp245,2030,0.906117556330165,0.444363456325031,SSP2-4.5
Shandong,ssp245,2050,1.36027573696845,1.15139216935906,SSP2-4.5
Shandong,ssp245,2080,2.69308968273754,0.701759247841542,SSP2-4.5
Shandong,ssp585,2030,1.02047064631431,0.614601776452188,SSP5-8.5
Shandong,ssp585,2050,2.47369605447493,0.697285800801805,SSP5-8.5
Shandong,ssp585,2080,18.9534747115544,0.686197400008256,SSP5-8.5
Shanghai,ssp245,2030,0.811674222146592,0.766689788170092,SSP2-4.5
Shanghai,ssp245,2050,1.32303966115013,0.953395855341591,SSP2-4.5
Shanghai,ssp245,2080,3.03061856280711,1.0009711525286,SSP2-4.5
Shanghai,ssp585,2030,0.92159333577269,1.72591054448733,SSP5-8.5
Shanghai,ssp585,2050,2.75104283164916,1.02052239773194,SSP5-8.5
Shanghai,ssp585,2080,33.3146613521667,1.02218340298228,SSP5-8.5
Shanxi,ssp245,2030,0.495904750741079,0.383165401215687,SSP2-4.5
Shanxi,ssp245,2050,0.649991542990498,1.65624806461017,SSP2-4.5
Shanxi,ssp245,2080,1.0304077399876,1.0321807689519,SSP2-4.5
Shanxi,ssp585,2030,0.537967596944202,0.777784341745414,SSP5-8.5
Shanxi,ssp585,2050,0.985849930975015,1.04263082347475,SSP5-8.5
Shanxi,ssp585,2080,4.85855534594447,0.988808385277458,SSP5-8.5
Sichuan,ssp245,2030,0.669513007640597,2.19284666313127,SSP2-4.5
Sichuan,ssp245,2050,1.04570255192492,1.22230209207285,SSP2-4.5
Sichuan,ssp245,2080,2.31455178586183,1.28188072081559,SSP2-4.5
Sichuan,ssp585,2030,0.759251105587482,2.17204077649558,SSP5-8.5
Sichuan,ssp585,2050,2.14303037429202,1.28286650826203,SSP5-8.5
Sichuan,ssp585,2080,18.0862406060164,1.24174606399523,SSP5-8.5
Tianjin,ssp245,2030,0.908099312887915,0.417003794724794,SSP2-4.5
Tianjin,ssp245,2050,1.30289432404208,1.50998412258096,SSP2-4.5
Tianjin,ssp245,2080,2.3856869844268,0.947123464195543,SSP2-4.5
Tianjin,ssp585,2030,1.01487570137162,0.724195728709469,SSP5-8.5
Tianjin,ssp585,2050,2.14737546316102,1.01730047467512,SSP5-8.5
Tianjin,ssp585,2080,11.8177019873013,0.896621134528923,SSP5-8.5
Tibet,ssp245,2030,1.71461850968241,0.381146060203719,SSP2-4.5
Tibet,ssp245,2050,2.39782214100751,1.17412554845941,SSP2-4.5
Tibet,ssp245,2080,4.13203481064553,1.74493060321765,SSP2-4.5
Tibet,ssp585,2030,1.84295228151665,0.555929161464519,SSP5-8.5
Tibet,ssp585,2050,3.75600995324958,1.75311027851421,SSP5-8.5
Tibet,ssp585,2080,15.4201615430393,1.69732968961398,SSP5-8.5
Xinjiang,ssp245,2030,0.733336102572041,0.574186576827152,SSP2-4.5
Xinjiang,ssp245,2050,0.818530172054504,1.80750684581612,SSP2-4.5
Xinjiang,ssp245,2080,0.915485867280736,1.09230110116075,SSP2-4.5
Xinjiang,ssp585,2030,0.772035573180973,0.996394083437062,SSP5-8.5
Xinjiang,ssp585,2050,0.934382474675557,1.14349053847383,SSP5-8.5
Xinjiang,ssp585,2080,1.57668512249052,1.14043216560505,SSP5-8.5
Yunnan,ssp245,2030,0.0776398836299222,0.105048003219447,SSP2-4.5
Yunnan,ssp245,2050,0.0978618555847246,0.167716803984105,SSP2-4.5
Yunnan,ssp245,2080,0.17939862356911,0.309250262046642,SSP2-4.5
Yunnan,ssp585,2030,0.0708227748211833,0.140807548528049,SSP5-8.5
Yunnan,ssp585,2050,0.157559093983482,0.410148026173634,SSP5-8.5
Yunnan,ssp585,2080,0.709374079293867,0.565916822488737,SSP5-8.5
Zhejiang,ssp245,2030,1.05336867707868,1.65117578695751,SSP2-4.5
Zhejiang,ssp245,2050,1.6817953580457,0.92428266628265,SSP2-4.5
Zhejiang,ssp245,2080,3.797369539317,0.927937152987333,SSP2-4.5
Zhejiang,ssp585,2030,1.1723930715938,0.997558498712466,SSP5-8.5
Zhejiang,ssp585,2050,3.21066603013329,0.957743321179779,SSP5-8.5
Zhejiang,ssp585,2080,28.8398432634372,1.00004638600143,SSP5-8.5
